target_no,mgmt_no,rows,dt_start,dt_end,span_days,rt_min,rt_max,rt_span,rt_all_zero,voltage_active_rate,voltage_na_rate,active_rows_per_plug,plug_activity_imbalance_ratio,exchange_candidates_total,exchange_candidates_per_plug
8750,8750,99960,2020-03-19,2025-12-15,2096,229130.0,8060423.0,7831293.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7400,7400,135356,2018-03-27,2025-12-15,2819,3521591.0,11019061.0,7497470.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7401,7401,135356,2018-03-27,2025-12-15,2819,3518266.0,11014417.0,7496151.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8700,8700,103242,2019-12-26,2025-12-15,2180,6.0,7282219.0,7282213.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7850,7850,135354,2018-03-27,2025-12-15,2819,1322289.0,8268594.0,6946305.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8391,8391,104674,2019-12-20,2025-12-15,2186,0.0,6827526.0,6827526.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8390,8390,104717,2019-12-20,2025-12-15,2186,7.0,6825513.0,6825506.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8860,8860,94747,2020-06-30,2025-12-15,1993,11557.0,6758683.0,6747126.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8861,8861,94417,2020-06-30,2025-12-14,1993,7943.0,6748219.0,6740276.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7930,7930,135039,2018-03-27,2025-12-15,2819,1560859.0,8012585.0,6451726.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9351,9351,48000,2018-03-27,2025-12-15,2819,5682.0,6277888.0,6272206.0,False,0.9995625,0.0,"47979,47979,41883,41883,43486,43486",0.8729444131807665,316,"0,1,0,0,292,23"
6941,6941,93971,2020-02-24,2025-12-15,2120,52270.0,6143279.0,6091009.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8290,8290,134223,2018-03-27,2025-12-15,2819,12809.0,6032899.0,6020090.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8291,8291,134224,2018-03-27,2025-12-15,2819,14102.0,6030372.0,6016270.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8800,8800,99398,2020-03-01,2025-12-15,2114,5151.0,5964321.0,5959170.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8801,8801,99397,2020-03-01,2025-12-15,2114,7700.0,5965883.0,5958183.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8040,8040,128262,2018-03-27,2025-12-08,2812,284.0,5894928.0,5894644.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8530,8530,119056,2019-02-22,2025-12-15,2487,0.0,5863724.0,5863724.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7660,7660,133580,2018-03-27,2025-12-15,2819,0.0,5669411.0,5669411.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8880,8880,92581,2020-09-01,2025-12-15,1930,16910.0,5442073.0,5425163.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8280,8280,134216,2018-03-27,2025-12-15,2819,67882.0,5010482.0,4942600.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8870,8870,96155,2020-06-19,2025-12-15,2004,0.0,4892416.0,4892416.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8920,8920,90269,2020-10-05,2025-12-15,1896,2049.0,4820505.0,4818456.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8921,8921,90364,2020-10-05,2025-12-15,1896,1836.0,4817455.0,4815619.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8271,8271,133380,2018-03-22,2025-12-15,2824,72487.0,4878870.0,4806383.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8270,8270,134118,2018-03-27,2025-12-15,2819,85267.0,4879640.0,4794373.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7680,7680,135317,2018-03-27,2025-12-15,2819,1308184.0,5910058.0,4601874.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8580,8580,110591,2019-03-19,2025-12-15,2462,0.0,4550708.0,4550708.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9650,9650,15408,2018-03-27,2025-12-15,2819,14599.0,4541981.0,4527382.0,False,0.527128764278297,0.0,"8122,8122,8122,8122,8122,8122",1.0,12,"2,2,2,2,2,2"
7940,7940,135256,2018-03-27,2025-12-15,2819,1185823.0,5444652.0,4258829.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8980,8980,85606,2021-01-25,2025-12-15,1784,3872.0,3904044.0,3900172.0,False,0.9616849286264981,0.0,"82326,82326,82326,82326,82326,82326",1.0,0,"0,0,0,0,0,0"
7590,7590,107063,2018-03-27,2025-12-15,2819,1499416.0,5387273.0,3887857.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7821,7821,135176,2018-03-27,2025-12-15,2819,595716.0,4267041.0,3671325.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7820,7820,135174,2018-03-27,2025-12-15,2819,684854.0,4268566.0,3583712.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9360,9360,47558,2023-03-30,2025-12-15,990,5388.0,3502606.0,3497218.0,False,0.9941545060767905,0.0,"47279,47280,47280,47279,47280,47280",0.9999788494077834,0,"0,0,0,0,0,0"
9140,9140,57309,2022-04-02,2025-12-15,1352,1560.0,3328540.0,3326980.0,False,0.9956900312341866,0.0,"57062,57062,57062,57062,57062,30199",0.5292313623777646,1,"1,0,0,0,0,0"
8710,8710,101076,2020-02-20,2025-12-15,2124,7980.0,3317560.0,3309580.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8711,8711,101076,2020-02-20,2025-12-15,2124,8991.0,3300113.0,3291122.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8670,8670,104748,2019-12-18,2025-12-15,2188,0.0,3233025.0,3233025.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8671,8671,104748,2019-12-18,2025-12-15,2188,0.0,3207209.0,3207209.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9141,9141,57309,2022-04-02,2025-12-15,1352,2824.0,3097120.0,3094296.0,False,0.9958296253642535,0.0,"57070,57070,57070,57070,57070,30168",0.5286139828281058,0,"0,0,0,0,0,0"
9470,9470,47188,2023-03-30,2025-12-15,990,11776.0,3022602.0,3010826.0,False,0.9968424175637874,0.0,"46810,46810,46810,47009,46810,47039",0.9951316992282999,6,"1,1,1,0,1,2"
9050,9050,84468,2021-02-10,2025-12-15,1768,3854.0,3012393.0,3008539.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8740,8740,102578,2020-02-05,2025-12-15,2139,0.0,2775303.0,2775303.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9180,9180,62348,2022-05-23,2025-12-15,1301,17703.0,2742799.0,2725096.0,False,0.9921890036568936,0.0,"61861,61860,61861,61861,61861,61860",0.9999838347262411,0,"0,0,0,0,0,0"
9301,9301,56888,2022-09-09,2025-12-15,1192,20004.0,2726148.0,2706144.0,False,0.9931268457319645,0.0,"56497,56497,56497,56497,56497,56497",1.0,0,"0,0,0,0,0,0"
9300,9300,56792,2022-09-09,2025-12-15,1192,20533.0,2710563.0,2690030.0,False,0.9944182279194252,0.0,"56475,56475,56475,56475,56475,56475",1.0,0,"0,0,0,0,0,0"
8760,8760,99597,2020-04-07,2025-12-15,2077,57358.0,2718736.0,2661378.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8761,8761,99610,2020-04-07,2025-12-15,2077,64278.0,2703396.0,2639118.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8110,8110,134275,2018-03-27,2025-12-15,2819,506926.0,3136260.0,2629334.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8520,8520,71530,2019-02-16,2025-12-15,2493,811.0,2522675.0,2521864.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8521,8521,71411,2019-02-21,2025-12-15,2488,4100.0,2508056.0,2503956.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9130,9130,70559,2021-12-06,2025-12-15,1469,1814.0,2467636.0,2465822.0,False,0.9960742074008986,0.0,"70282,70282,70282,70282,70282,70282",1.0,0,"0,0,0,0,0,0"
8930,8930,82920,2021-03-23,2025-12-15,1727,5148.0,2386958.0,2381810.0,False,0.9233719247467439,0.0,"76566,76566,76566,76566,76566,76566",1.0,0,"0,0,0,0,0,0"
7480,7480,133671,2018-03-27,2025-12-15,2819,950808.0,3279913.0,2329105.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7481,7481,133679,2018-03-27,2025-12-15,2819,936986.0,3197962.0,2260976.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9040,9040,85265,2021-02-01,2025-12-15,1777,0.0,2063648.0,2063648.0,False,0.9250689028323462,0.0,"78876,78876,78876,78876,78876,78876",1.0,0,"0,0,0,0,0,0"
9370,9370,52720,2022-12-12,2025-12-15,1098,0.0,1944348.0,1944348.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9170,9170,67908,2022-01-28,2025-12-15,1416,3117.0,1809681.0,1806564.0,False,0.9903840490074807,0.0,"67255,67255,67255,67255,67255,67255",1.0,0,"0,0,0,0,0,0"
8160,8160,74094,2018-03-27,2022-07-16,1571,289033.0,2093586.0,1804553.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9201,9201,63310,2022-02-27,2025-12-15,1386,297.0,1775393.0,1775096.0,False,0.9993681882798926,0.0,"63270,63270,63270,63270,63270,63270",1.0,0,"0,0,0,0,0,0"
9350,9350,41904,2023-07-26,2025-12-15,872,4610.0,1615135.0,1610525.0,False,0.9999761359297442,0.0,"41903,41903,41903,41903,41903,41903",1.0,1,"1,0,0,0,0,0"
9330,9330,45496,2023-05-12,2025-12-15,947,30985.0,1456437.0,1425452.0,False,0.9991647617372956,0.0,"45458,45457,45458,45458,45458,45457",0.9999780016718729,0,"0,0,0,0,0,0"
9320,9320,48996,2023-02-28,2025-12-15,1020,10791.0,1337871.0,1327080.0,False,0.9999795901706262,0.0,"48995,48995,48995,48995,48995,48995",1.0,0,"0,0,0,0,0,0"
8991,8991,82734,2021-03-26,2025-12-15,1724,16418.0,1319189.0,1302771.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8990,8990,82733,2021-03-26,2025-12-15,1724,17153.0,1318697.0,1301544.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9160,9160,67570,2022-02-06,2025-12-15,1407,4101.0,1281297.0,1277196.0,False,0.9626017463371319,0.0,"65043,65042,65043,65043,65043,65042",0.9999846255554018,0,"0,0,0,0,0,0"
9431,9431,47642,2023-03-28,2025-12-15,992,8483.0,1283086.0,1274603.0,False,0.9989505058561773,0.0,"47592,47592,47592,47592,47592,47592",1.0,0,"0,0,0,0,0,0"
9430,9430,47642,2023-03-28,2025-12-15,992,8723.0,1271852.0,1263129.0,False,0.9940808530288401,0.0,"47360,47360,47360,47360,47360,47360",1.0,0,"0,0,0,0,0,0"
8261,8261,131259,2018-05-26,2025-12-15,2759,10555.0,1133606.0,1123051.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8260,8260,131280,2018-05-26,2025-12-15,2759,10271.0,1130753.0,1120482.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8400,8400,125739,2018-10-10,2025-12-15,2622,0.0,889403.0,889403.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8210,8210,96335,2020-06-16,2025-12-15,2007,2132509.0,2781213.0,648704.0,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9660,9660,20064,2024-10-23,2025-12-15,417,13830.0,490013.0,476183.0,False,0.18361244019138756,0.0,"3684,3684,3684,3684,3684,3684",1.0,0,"0,0,0,0,0,0"
9401,9401,51017,2023-01-17,2025-12-15,1062,769.0,294189.0,293420.0,False,0.9821040045475038,0.0,"50104,50104,50104,50104,50104,44910",0.8963356219064346,0,"0,0,0,0,0,0"
9400,9400,51017,2023-01-17,2025-12-15,1062,1538.0,244765.0,243227.0,False,0.9821432071662387,0.0,"50106,50106,50106,50106,50106,44911",0.8963198020197182,0,"0,0,0,0,0,0"
9310,9310,45306,2023-05-12,2025-12-15,947,1575.0,67861.0,66286.0,False,0.978347238776321,0.0,"44325,44325,44325,44325,44325,44325",1.0,0,"0,0,0,0,0,0"
9591,9591,41848,2023-07-19,2025-12-15,879,0.0,41745.0,41745.0,False,0.9997371439495316,0.0,"41837,41837,41837,41837,23178,41837",0.5540072184908096,0,"0,0,0,0,0,0"
